experiment,structure,x,metric,value
scaling,array,111892,build_ms,7.6712
scaling,array,111892,memory_bytes,895136.0000
scaling,array,111892,query_us,0.3922
scaling,array,111892,total_hits,1002.0000
scaling,tree,111892,build_ms,108.3788
scaling,tree,111892,memory_bytes,38484984.0000
scaling,tree,111892,query_us,1.3433
scaling,tree,111892,total_hits,1002.0000
scaling,tree,111892,node_count,183025.0000
scaling,array,223784,build_ms,16.4303
scaling,array,223784,memory_bytes,1790272.0000
scaling,array,223784,query_us,0.6156
scaling,array,223784,total_hits,1000.0000
scaling,tree,223784,build_ms,239.0754
scaling,tree,223784,memory_bytes,76983048.0000
scaling,tree,223784,query_us,1.7218
scaling,tree,223784,total_hits,1000.0000
scaling,tree,223784,node_count,366203.0000
scaling,array,335676,build_ms,28.5482
scaling,array,335676,memory_bytes,2685408.0000
scaling,array,335676,query_us,0.6550
scaling,array,335676,total_hits,1001.0000
scaling,tree,335676,build_ms,367.7648
scaling,tree,335676,memory_bytes,115429280.0000
scaling,tree,335676,query_us,1.6483
scaling,tree,335676,total_hits,1001.0000
scaling,tree,335676,node_count,548792.0000
scaling,array,447568,build_ms,34.5525
scaling,array,447568,memory_bytes,3580544.0000
scaling,array,447568,query_us,0.6826
scaling,array,447568,total_hits,1014.0000
scaling,tree,447568,build_ms,507.3502
scaling,tree,447568,memory_bytes,153928928.0000
scaling,tree,447568,query_us,1.6982
scaling,tree,447568,total_hits,1014.0000
scaling,tree,447568,node_count,731988.0000
scaling,array,559460,build_ms,45.8139
scaling,array,559460,memory_bytes,4475680.0000
scaling,array,559460,query_us,0.7475
scaling,array,559460,total_hits,1011.0000
scaling,tree,559460,build_ms,654.2396
scaling,tree,559460,memory_bytes,192417488.0000
scaling,tree,559460,query_us,1.7701
scaling,tree,559460,total_hits,1011.0000
scaling,tree,559460,node_count,915058.0000
scaling,array,671352,build_ms,51.7970
scaling,array,671352,memory_bytes,5370816.0000
scaling,array,671352,query_us,0.7686
scaling,array,671352,total_hits,1003.0000
scaling,tree,671352,build_ms,788.1936
scaling,tree,671352,memory_bytes,231061280.0000
scaling,tree,671352,query_us,1.8685
scaling,tree,671352,total_hits,1003.0000
scaling,tree,671352,node_count,1099892.0000
scaling,array,783244,build_ms,63.1823
scaling,array,783244,memory_bytes,6265952.0000
scaling,array,783244,query_us,0.8414
scaling,array,783244,total_hits,1009.0000
scaling,tree,783244,build_ms,925.4388
scaling,tree,783244,memory_bytes,269567264.0000
scaling,tree,783244,query_us,1.8771
scaling,tree,783244,total_hits,1009.0000
scaling,tree,783244,node_count,1283160.0000
scaling,array,895136,build_ms,71.9292
scaling,array,895136,memory_bytes,7161088.0000
scaling,array,895136,query_us,0.8307
scaling,array,895136,total_hits,1011.0000
scaling,tree,895136,build_ms,1080.0088
scaling,tree,895136,memory_bytes,308115664.0000
scaling,tree,895136,query_us,2.0430
scaling,tree,895136,total_hits,1011.0000
scaling,tree,895136,node_count,1466910.0000
scaling,array,1007028,build_ms,79.7079
scaling,array,1007028,memory_bytes,8056224.0000
scaling,array,1007028,query_us,0.8678
scaling,array,1007028,total_hits,1023.0000
scaling,tree,1007028,build_ms,1203.7086
scaling,tree,1007028,memory_bytes,346614960.0000
scaling,tree,1007028,query_us,2.2204
scaling,tree,1007028,total_hits,1023.0000
scaling,tree,1007028,node_count,1650102.0000
scaling,array,1118921,build_ms,89.7215
scaling,array,1118921,memory_bytes,8951368.0000
scaling,array,1118921,query_us,0.8785
scaling,array,1118921,total_hits,1027.0000
scaling,tree,1118921,build_ms,1340.1928
scaling,tree,1118921,memory_bytes,385114808.0000
scaling,tree,1118921,query_us,2.0284
scaling,tree,1118921,total_hits,1027.0000
scaling,tree,1118921,node_count,1833298.0000
scaling,array,1230813,build_ms,99.7040
scaling,array,1230813,memory_bytes,9846504.0000
scaling,array,1230813,query_us,0.8939
scaling,array,1230813,total_hits,1011.0000
scaling,tree,1230813,build_ms,1524.4142
scaling,tree,1230813,memory_bytes,423699992.0000
scaling,tree,1230813,query_us,2.0738
scaling,tree,1230813,total_hits,1011.0000
scaling,tree,1230813,node_count,2017466.0000
scaling,array,1342705,build_ms,103.8099
scaling,array,1342705,memory_bytes,10741640.0000
scaling,array,1342705,query_us,0.9434
scaling,array,1342705,total_hits,1017.0000
scaling,tree,1342705,build_ms,1643.0507
scaling,tree,1342705,memory_bytes,462300224.0000
scaling,tree,1342705,query_us,2.1522
scaling,tree,1342705,total_hits,1017.0000
scaling,tree,1342705,node_count,2201805.0000
scaling,array,1454597,build_ms,123.8383
scaling,array,1454597,memory_bytes,11636776.0000
scaling,array,1454597,query_us,0.9661
scaling,array,1454597,total_hits,1019.0000
scaling,tree,1454597,build_ms,1795.1362
scaling,tree,1454597,memory_bytes,500795120.0000
scaling,tree,1454597,query_us,2.1938
scaling,tree,1454597,total_hits,1019.0000
scaling,tree,1454597,node_count,2384947.0000
scaling,array,1566489,build_ms,126.1862
scaling,array,1566489,memory_bytes,12531912.0000
scaling,array,1566489,query_us,1.0871
scaling,array,1566489,total_hits,1037.0000
scaling,tree,1566489,build_ms,1952.9589
scaling,tree,1566489,memory_bytes,539411544.0000
scaling,tree,1566489,query_us,2.1457
scaling,tree,1566489,total_hits,1037.0000
scaling,tree,1566489,node_count,2569470.0000
scaling,array,1678381,build_ms,144.5603
scaling,array,1678381,memory_bytes,13427048.0000
scaling,array,1678381,query_us,0.9856
scaling,array,1678381,total_hits,1035.0000
scaling,tree,1678381,build_ms,2119.8203
scaling,tree,1678381,memory_bytes,578247616.0000
scaling,tree,1678381,query_us,2.2323
scaling,tree,1678381,total_hits,1035.0000
scaling,tree,1678381,node_count,2756489.0000
scaling,array,1790273,build_ms,149.3913
scaling,array,1790273,memory_bytes,14322184.0000
scaling,array,1790273,query_us,1.1561
scaling,array,1790273,total_hits,1068.0000
scaling,tree,1790273,build_ms,2236.7613
scaling,tree,1790273,memory_bytes,617255816.0000
scaling,tree,1790273,query_us,2.2712
scaling,tree,1790273,total_hits,1068.0000
scaling,tree,1790273,node_count,2945464.0000
scaling,array,1902165,build_ms,162.5127
scaling,array,1902165,memory_bytes,15217320.0000
scaling,array,1902165,query_us,1.0427
scaling,array,1902165,total_hits,1064.0000
scaling,tree,1902165,build_ms,2396.9660
scaling,tree,1902165,memory_bytes,656087048.0000
scaling,tree,1902165,query_us,2.3577
scaling,tree,1902165,total_hits,1064.0000
scaling,tree,1902165,node_count,3132428.0000
scaling,array,2014057,build_ms,179.8511
